NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Status,Station,Distance
SA921,Sarasota,Tree,27.1240013,-82.4521958,1,0,0,0,0,0,Failed,USW00012871,32.59638575
SA922,Sarasota,Artificial Substrate,27.379365,-82.504512,1,1,1,1,1,0,Successful,USW00012871,5.88082562
SA992,Sarasota,Tree,27.116671,-82.465363,0,0,0,0,0,0,Destroyed,USW00012871,32.98179632
SE004,Seminole,Tree,28.685225,-81.228404,0,0,0,0,0,0,Inactive,USW00012854,10.58766538
SE012,Seminole,Tree,28.638833,-81.298,1,1,0,0,0,0,Failed,USW00012841,10.89515551
SE018,Seminole,Tree,28.693667,-81.205167,0,0,0,0,0,0,Inactive,USW00012854,10.25307779
SE024,Seminole,Tree,28.805167,-81.248333,1,1,1,2,2,0,Successful,USW00012854,2.890598359
SE025,Seminole,Tree,28.742667,-81.2475,1,1,1,1,1,0,Successful,USW00012854,4.114723317
SE027,Seminole,Tree,28.701936,-81.438255,1,1,1,2,2,0,Successful,USW00012841,19.98293345
SE028,Seminole,Tree,28.754333,-81.2265,0,0,0,0,0,0,Inactive,USW00012854,3.256173671
SE029,Seminole,Artificial Substrate,28.825207,-81.316018,1,0,0,0,0,0,Taken,USW00012854,8.69862728
SE032,Seminole,Tree,28.729,-81.271167,1,1,1,1,1,0,Successful,USW00012854,6.227952976
SE035,Seminole,Tree,28.615,-80.999,1,1,1,2,2,0,Successful,USW00012854,30.06022913
SE043,Seminole,Tree,28.7784486,-81.2080642,1,1,1,1,1,0,Successful,USW00012854,3.461455956
SE044,Seminole,Tree,28.6198732,-81.2741303,1,1,1,2,2,0,Successful,USW00012841,10.11673465
SE047,Seminole,Tree,28.797167,-81.309,0,0,0,0,0,0,Inactive,USW00012854,6.672643186
SE049,Seminole,Tree,28.746667,-81.268,1,1,1,1,1,0,Successful,USW00012854,4.360311313
SE055,Seminole,Tree,28.715386,-81.13001,1,1,1,1,1,0,Successful,USW00012854,13.16759822
SE057,Seminole,Tree,28.737537,-81.263279,0,0,0,0,0,0,Inactive,USW00012854,5.047527826
SE061,Seminole,Artificial Substrate,28.84744,-81.33711,0,0,0,0,0,0,Inactive,USW00012854,11.8375599
SE064,Seminole,Tree,28.789,-81.06533333,1,1,1,2,2,0,Successful,USW00012854,17.40123007
SE078,Seminole,Tree,28.760667,-81.238833,1,1,1,1,1,0,Successful,USW00012854,2.145307736
SE079,Seminole,Tree,28.6593,-81.281596,1,1,1,2,2,0,Successful,USW00012841,13.59665755
SE080,Seminole,Tree,28.78555,-81.073612,1,1,1,2,2,0,Successful,USW00012854,16.57628681
SE081,Seminole,Tree,28.731055,-81.140526,1,1,1,2,2,0,Successful,USW00012854,11.39792983
SE083,Seminole,Tree,28.703,-81.049333,1,1,0,0,0,0,Failed,USW00012854,20.75963735
SE084,Seminole,Tree,28.627,-81.035833,0,0,0,0,0,0,Inactive,USW00012854,26.42060591
SE086,Seminole,Tree,28.6690905,-81.2432688,1,1,0,0,0,0,Failed,USW00012854,12.278138
SE089,Seminole,Tree,28.798004,-81.27579,1,1,1,2,2,0,Successful,USW00012854,3.754193137
SE092,Seminole,Artificial Substrate,28.69137,-81.22039,0,0,0,0,0,0,Inactive,USW00012854,10.05773073
SE093,Seminole,Tree,28.6323536,-81.3141033,1,1,1,2,2,0,Successful,USW00012841,9.767901255
SE095,Seminole,Artificial Substrate,28.623546,-81.255205,1,1,1,2,2,0,Successful,USW00012841,11.60664054
SE096,Seminole,Tree,28.698604,-81.259916,1,1,1,2,2,0,Successful,USW00012854,9.136590613
SE097,Seminole,Artificial Substrate,28.70269,-81.266493,0,0,0,0,0,0,Inactive,USW00012854,8.82977957
SE098,Seminole,Tree,28.6523602,-81.3123143,1,1,1,2,2,0,Successful,USW00012841,11.98241744
SE099,Seminole,Tree,28.7885,-81.0625,1,1,0,0,0,0,Failed,USW00012854,17.67366438
SE100,Seminole,Tree,28.68406,-81.23694,1,1,1,2,2,0,Successful,USW00012854,10.63318026
SE101,Seminole,Tree,28.735345,-81.109214,1,1,1,1,1,0,Successful,USW00012854,13.98665021
SE103,Seminole,Artificial Substrate,28.787988,-81.214669,1,1,1,1,1,0,Successful,USW00012854,2.969233206
SE104,Seminole,Tree,28.78776,-81.145043,1,1,1,1,1,0,Successful,USW00012854,9.644826886
SE105,Seminole,Tree,28.650971,-81.032507,1,1,1,2,2,0,Successful,USW00012854,25.05797161
SE107,Seminole,Artificial Substrate,28.714721,-81.361532,0,0,0,0,0,0,Destroyed,USW00012854,13.57117784
SE108,Seminole,Artificial Substrate,28.742515,-81.289845,1,1,0,0,0,0,Failed,USW00012854,6.10557392
SE109,Seminole,Tree,28.819126,-81.32368,0,0,0,0,0,0,Destroyed,USW00012854,8.964069962
SE110,Seminole,Tree,28.764248,-81.088255,1,1,1,1,1,0,Successful,USW00012854,15.2319869
SE111,Seminole,Tree,28.729679,-81.096455,1,1,1,2,2,0,Successful,USW00012854,15.37355978
SE910,Seminole,Artificial Substrate,28.755031,-81.330111,0,0,0,0,0,0,Inactive,USW00012854,8.864507824
SE914,Seminole,Tree,28.791639,-81.064667,1,1,1,2,2,0,Successful,USW00012854,17.48601101
SE921,Seminole,Tree,28.781502,-81.133883,1,1,1,2,2,0,Successful,USW00012854,10.69132835
SE932,Seminole,Artificial Substrate,28.674925,-81.313084,0,0,0,0,0,0,Inactive,USW00012854,13.46102497
SE982,Seminole,Artificial Substrate,28.731981,-81.332911,1,1,1,1,1,0,Successful,USW00012854,10.18811729
SJ003,Saint Johns,Tree,30.05983333,-81.36716667,1,1,1,2,2,0,Successful,USW00053860,33.85560206
SJ007,Saint Johns,Tree,30.1085,-81.6145,1,1,0,0,0,0,Failed,USW00093837,14.75871893
SJ010,Saint Johns,Tree,30.009442,-81.619609,1,1,1,2,2,0,Successful,USW00093837,25.30337252
SJ019,Saint Johns,Tree,29.865223,-81.302128,1,1,0,0,0,0,Failed,USC00086767,27.55094395
SJ021,Saint Johns,Tree,29.901917,-81.338113,0,0,0,0,0,0,Inactive,USC00086767,32.61656307
SJ022,Saint Johns,Tree,29.68093,-81.271397,1,1,1,2,2,0,Successful,USC00086767,8.338726207
SJ024,Saint Johns,Tree,30.02933333,-81.66133333,0,0,0,0,0,0,Inactive,USW00093837,22.68923139
