Unnamed: 0,NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Status,Year,Station,Distance
25,DU014,Duval,tree,30.208,-81.628,1,1,1,2,2,0,,2016,USW00093837,4.662425635782641
26,DU018,Duval,tree,30.274,-81.414,1,1,1,2,2,0,,2016,USW00053860,11.794296062596798
27,DU020,Duval,tree,30.287,-81.659,1,1,1,2,2,0,,2016,USW00093837,6.013134083417776
28,DU027,Duval,tree,30.320105,-81.74785,1,1,1,2,1,1,,2016,USW00093837,12.404558719266541
29,DU023,Duval,tree,30.255,-81.565,1,1,1,2,2,0,,2016,USW00093837,10.059276324829023
30,DU025,Duval,tree,30.288764,-81.706799,1,1,1,1,1,0,,2016,USW00093837,7.269735070231811
31,DU026,Duval,artificial structure,30.32036,-81.45011,1,0,0,0,0,0,,2016,USW00053860,6.294754077994396
32,DU028,Duval,tree,30.383,-81.498,1,1,1,1,1,0,,2016,USW00053860,5.299083877
33,DU029,Duval,tree,30.354,-81.611,1,1,1,2,2,0,,2016,USW00053860,9.612147710903477
34,DU034,Duval,tree,30.172,-81.641,1,1,1,2,2,0,,2016,USW00093837,7.252065922857907
35,FL007,Flagler,tree,29.502,-81.15,1,1,1,2,2,0,,2016,USC00086767,15.429664682870081
36,FL013,Flagler,tree,29.561,-81.194,1,1,1,2,2,0,,2016,USC00086767,7.970063471426489
37,GU021,Gulf,tree,29.682,-85.335,1,1,1,1,1,0,,2016,USW00012832,30.370685927211863
38,HI048,Highlands,tree,27.56683,-81.50433,1,1,1,2,2,0,,2016,USW00012876,60.33790166891753
39,HL004,Hillsborough,tree,28.025833,-82.646833,1,0,0,0,0,0,,2016,USW00012873,13.157871849961044
40,HL006,Hillsborough,tree,27.880345,-82.366422,1,1,1,1,1,0,,2016,USW00092806,28.36820237596913
41,HL007,Hillsborough,tree,27.724667,-82.465167,1,1,1,1,1,0,,2016,USW00092806,16.52986820940109
42,HL008,Hillsborough,artificial structure,27.660186,-82.436858,1,0,0,0,0,0,,2016,USW00092806,22.146480549616744
43,HL017,Hillsborough,tree,27.898,-82.391167,0,0,0,0,0,0,,2016,USW00092806,27.188362693519476
44,HL019,Hillsborough,tree,27.752,-82.15,1,1,1,1,1,0,,2016,USW00012883,29.275757290508594
45,HL024,Hillsborough,tree,27.838,-82.495,1,1,1,1,1,0,,2016,USW00092806,14.999510355900037
46,HL029,Hillsborough,artificial structure,27.972,-82.223,1,1,1,2,2,0,,2016,USW00012883,17.270210190473136
47,HL038,Hillsborough,artificial structure,28.086,-82.357,1,1,1,2,1,1,,2016,USW00012883,31.61021142480179
48,HL042,Hillsborough,artificial structure,27.763,-82.411167,1,0,0,0,0,0,,2016,USW00092806,21.115133109297687
49,HL043,Hillsborough,tree,28.00466,-82.25383,0,0,0,0,0,0,,2016,USW00012883,20.018185340202848
50,HL044,Hillsborough,artificial structure,28.006,-82.585,0,0,0,0,0,0,,2016,USW00012873,14.335460875271215
51,HL047,Hillsborough,artificial structure,27.90516,-82.34383,1,1,1,1,1,0,,2016,USW00012883,30.72709876
52,HL050,Hillsborough,tree,27.98,-82.137,1,1,1,2,2,0,,2016,USW00012883,8.827138816497182
53,HL051,Hillsborough,artificial structure,27.941667,-82.402333,0,0,0,0,0,0,,2016,USW00012873,28.01259522
54,HL052,Hillsborough,tree,28.054,-82.254,1,1,1,2,2,0,,2016,USW00012883,20.904500733147216
55,HL055,Hillsborough,artificial structure,28.006,-82.371,1,1,1,2,2,0,,2016,USW00012883,31.521771219978707
56,HL056,Hillsborough,artificial structure,27.967,-82.241,0,0,0,0,0,0,,2016,USW00012883,19.11073030644296
57,HL057,Hillsborough,artificial structure,28.019075,-82.611409,0,0,0,0,0,0,,2016,USW00012873,13.904119164210343
58,HL058,Hillsborough,artificial structure,28.004,-82.339,1,0,0,0,0,0,,2016,USW00012883,28.37680750988137
59,HL059,Hillsborough,tree,28.125,-82.31,1,1,1,2,2,0,,2016,USW00012883,29.052464274581503
60,HL061,Hillsborough,artificial structure,28.170833,-82.3915,1,0,0,0,0,0,,2016,USW00012818,34.24363456236296
61,HL062,Hillsborough,artificial structure,27.839,-82.128,1,1,1,2,2,0,,2016,USW00012883,19.47379181468977
62,HL063,Hillsborough,artificial structure,28.0155,-82.42833,1,0,0,0,0,0,,2016,USW00012873,27.73483579122881
63,HL064,Hillsborough,artificial structure,27.805,-82.329,1,1,1,2,2,0,,2016,USW00092806,29.46662231015126
64,HL066,Hillsborough,artificial structure,28.03529,-82.512,0,0,0,0,0,0,,2016,USW00012873,21.834360870589528
65,HL067,Hillsborough,tree,28.07,-82.503,1,1,1,2,2,0,,2016,USW00012873,25.05576733
66,HL068,Hillsborough,artificial structure,27.995,-82.556,1,1,1,2,1,1,,2016,USW00012873,15.683371938993124
67,HL069,Hillsborough,tree,28.169333,-82.576833,1,1,1,2,2,0,,2016,USC00088824,17.45220718317815
68,HL070,Hillsborough,artificial structure,28.02448,-82.255171,1,1,1,1,1,0,,2016,USW00012883,20.324388293573662
69,HL071,Hillsborough,tree,27.951,-82.252,1,1,1,2,2,0,,2016,USW00012883,20.57142152433345
70,HL073,Hillsborough,artificial structure,27.706623,-82.437009,1,1,1,2,2,0,,2016,USW00092806,19.80112430780153
71,HL078,Hillsborough,artificial structure,28.077,-82.316,1,0,0,0,0,0,,2016,USW00012883,27.474559434267395
72,HL963,Hillsborough,artificial structure,27.983,-82.275,0,0,0,0,0,0,,2016,USW00012883,22.172835565651315
73,LA015,Lake,tree,28.805,-81.755167,1,1,1,2,2,0,,2016,USW00012819,5.611955143508091
74,LA180,Lake,tree,28.56883,-81.83533,1,1,1,2,2,0,,2016,USW00012819,28.199514555885703
75,LE026,Lee,tree,26.697,-81.848,1,1,1,2,2,0,,2016,USW00012835,12.531023213010197
76,LE056,Lee,tree,26.618,-81.655,1,1,1,2,2,0,,2016,USW00012894,13.468357564480609
77,MN004,Manatee,tree,27.418,-82.515,1,1,1,1,1,0,,2016,USW00012871,4.683065588
78,MN006,Manatee,tree,27.488,-82.515,1,1,1,2,2,0,,2016,USW00012871,10.542083035938502
79,MN011,Manatee,tree,27.455,-82.33,1,1,1,1,1,0,,2016,USW00012871,23.33688912
80,MN014,Manatee,tree,27.535,-82.473,1,1,1,2,2,0,,2016,USW00012871,17.084058601304445
81,MN015,Manatee,tree,27.435,-82.413,1,1,1,2,2,0,,2016,USW00012871,14.85025940191588
82,MN017,Manatee,artificial structure,27.553,-82.458,1,1,1,2,2,0,,2016,USW00012871,19.55737438845059
83,MN018,Manatee,tree,27.417,-82.566,0,0,0,0,0,0,,2016,USW00012871,1.8748753690663398
84,MN023,Manatee,tree,27.461,-82.487,1,1,1,2,2,0,,2016,USW00012871,9.68543553
85,MN027,Manatee,tree,27.575,-82.5,1,0,0,0,0,0,,2016,USW00012871,20.14481483712202
86,MN036,Manatee,tree,27.446,-82.46,1,1,1,2,2,0,,2016,USW00012871,10.922157373288321
87,MN038,Manatee,artificial structure,27.456,-82.649,1,1,1,1,1,0,,2016,USW00012871,10.785588602788774
88,MN040,Manatee,tree,27.417224,-82.45005,1,1,1,2,2,0,,2016,USW00012871,10.86057677109546
89,MN046,Manatee,artificial structure,27.458,-82.575,1,1,1,2,2,0,,2016,USW00012871,6.491242338916755
90,MN049,Manatee,artificial structure,27.51,-82.715,1,1,1,1,1,0,,2016,USW00012871,19.58883646970785
91,MN050,Manatee,artificial structure,27.461,-82.626,1,1,1,2,1,1,,2016,USW00012871,9.382966500298256
92,MN054,Manatee,artificial structure,27.581,-82.444,1,1,1,1,1,0,,2016,USW00012871,22.943581547757404
93,MT001,Martin,tree,27.01,-80.138,1,1,1,1,1,0,,2016,USW00012844,36.331983379158046
94,MT004,Martin,tree,27.127,-80.66,1,0,0,0,0,0,,2016,USC00085895,53.01290146422761
95,MT006,Martin,tree,26.968,-80.549,1,1,1,2,2,0,,2016,USW00012844,54.60581866134499
96,MT011,Martin,tree,26.969,-80.572,1,1,1,1,1,0,,2016,USC00085895,53.06251894547932
97,MT017,Martin,tree,26.960667,-80.575667,1,1,1,2,1,1,,2016,USC00085895,52.469775561595114
98,MT026,Martin,tree,27.04583,-80.34233,1,1,1,2,2,0,,2016,USW00012844,46.80433533191244
99,MT027,Martin,tree,27.191,-80.212,1,1,1,2,2,0,,2016,USW00012843,55.352670383516326
100,MT029,Martin,tree,27.255,-80.217,1,1,0,2,0,2,,2016,USW00012843,48.58051899753982
101,MT031,Martin,tree,27.180758,-80.274891,1,0,0,0,0,0,,2016,USW00012843,54.530145213897825
102,NA004,Nassau,tree,30.574,-81.456,1,1,1,1,1,0,,2016,USC00082944,10.335450759144228
103,OK013,Okeechobee,tree,27.143,-80.68,1,1,1,2,1,1,,2016,USC00085895,52.56423683093693
104,OR007,Orange,tree,28.475,-81.6,1,1,1,2,2,0,,2016,USW00012841,27.046168033712984
105,OR039,Orange,tree,28.543,-81.572,1,1,1,1,1,0,,2016,USW00012841,23.11019268
106,OR042,Orange,tree,28.535,-81.357,1,1,1,1,1,0,,2016,USW00012841,2.465582511311939
107,OR052,Orange,tree,28.543833,-81.595667,0,0,0,0,0,0,,2016,USW00012841,25.420287077597507
108,OR053,Orange,tree,28.465,-81.542,1,1,1,2,1,1,,2016,USW00012815,21.92795404433002
109,OR054,Orange,tree,28.559833,-81.645333,0,0,0,0,0,0,,2016,USW00012841,30.30362874259776
110,OR058,Orange,tree,28.746,-81.532,1,1,1,1,1,0,,2016,USW00012819,28.326973366445426
111,OR060,Orange,tree,28.487947,-81.365421,1,1,1,2,2,0,,2016,USW00012841,7.142454203
112,OR067,Orange,artificial structure,28.517,-81.539,1,1,1,2,2,0,,2016,USW00012841,20.155190377636355
113,OR069,Orange,artificial structure,28.516833,-81.288,1,0,0,0,0,0,,2016,USW00012841,5.6905532795321845
114,OR076,Orange,tree,28.555,-81.395,1,0,0,0,0,0,,2016,USW00012841,5.893155305491712
115,OR077,Orange,artificial structure,28.491,-81.463,1,1,1,2,2,0,,2016,USW00012841,13.908698263181172
116,OR083,Orange,tree,28.557,-81.627,1,1,0,1,0,1,,2016,USW00012841,28.501076694354374
117,OR091,Orange,artificial structure,28.593,-81.26,1,1,1,2,2,0,,2016,USW00012841,8.998604900742333
118,OR092,Orange,tree,28.5435,-81.6125,1,1,1,2,2,0,,2016,USW00012841,27.06487528135231
119,OR966,Orange,artificial structure,28.516,-81.592,1,0,0,0,0,0,,2016,USW00012841,25.29250311768445
120,OR97D,Orange,tree,28.512886,-81.609191,1,1,0,0,0,0,,2016,USW00012841,27.003838049720024
121,OS156,Osceola,tree,28.222,-81.37,1,1,1,2,2,0,,2016,USW00012815,22.275907378363293
122,OS180,Osceola,tree,28.319,-81.419,1,1,1,2,1,1,,2016,USW00012815,14.418108702865037
123,PB001,Palm Beach,tree,26.686,-80.769167,1,1,1,1,1,0,,2016,USC00085895,35.91989878923795
124,PB021,Palm Beach,tree,26.399,-80.229,0,0,0,0,0,0,,2016,USW00092805,20.646279664233575
125,PB025,Palm Beach,tree,26.737,-80.358,1,1,1,2,2,0,,2016,USW00012844,26.34807308247981
126,PB027,Palm Beach,tree,26.572,-80.208,1,1,1,1,1,0,,2016,USW00012844,16.588029065134844
127,PB030,Palm Beach,tree,26.748,-80.141,1,1,1,2,2,0,,2016,USW00012844,8.134611982666897
128,PB033,Palm Beach,artificial structure,26.4,-80.145,1,0,0,0,0,0,,2016,USW00092805,17.415865602798185
129,PI014,Pinellas,artificial structure,27.738,-82.668,1,1,1,2,2,0,,2016,USW00092806,5.368593000683931
130,PI018,Pinellas,tree,28.1,-82.755,1,0,0,0,0,0,,2016,USC00088824,5.811134561960637
131,PI020,Pinellas,tree,28.008,-82.768,1,1,1,2,2,0,,2016,USW00012873,13.350035355750911
132,PI030,Pinellas,artificial structure,28.172,-82.652,1,1,1,2,2,0,,2016,USC00088824,10.218368116591282
133,PI031,Pinellas,artificial structure,27.77,-82.712,1,1,1,2,2,0,,2016,USW00092806,8.494632155217504
134,PI035,Pinellas,artificial structure,27.73,-82.639,1,1,1,1,1,0,,2016,USW00092806,4.473996779841347
135,PI037,Pinellas,tree,27.965,-82.696,1,1,1,1,1,0,,2016,USW00012873,5.921838084
136,PI039,Pinellas,tree,28.08233,-82.8295,1,1,1,2,2,0,,2016,USC00088824,10.750060737440428
137,PI041,Pinellas,tree,28.171,-82.741,1,1,1,2,2,0,,2016,USC00088824,2.4333886581103776
138,PI044,Pinellas,tree,28.117,-82.741,0,0,0,0,0,0,,2016,USC00088824,4.115678149732353
139,PI045,Pinellas,tree,28.177,-82.75,1,1,1,1,1,0,,2016,USC00088824,2.7771745623621165
140,PI046,Pinellas,tree,28.13783,-82.78366,1,1,1,2,2,0,,2016,USC00088824,3.338011644
141,PI050,Pinellas,artificial structure,27.818,-82.791,1,1,0,1,0,1,,2016,USW00012873,14.764354114097545
142,PI052,Pinellas,artificial structure,28.132,-82.758,1,1,1,1,1,0,,2016,USC00088824,2.289048008732701
143,PI056,Pinellas,tree,27.84,-82.727,1,1,1,1,1,0,,2016,USW00012873,9.037636295
144,PI058,Pinellas,artificial structure,28.05966,-82.7015,1,0,0,0,0,0,,2016,USC00088824,11.50271634107272
145,PI060,Pinellas,tree,28.089,-82.771,0,0,0,0,0,0,,2016,USC00088824,7.232537967561461
146,PI062,Pinellas,tree,28.03433,-82.779,0,0,0,0,0,0,,2016,USC00088824,13.343105160568019
147,PI067,Pinellas,tree,28.10694,-82.71263,1,1,1,3,3,0,,2016,USC00088824,6.456217049570953
148,PI068,Pinellas,tree,28.068384,-82.777237,1,1,1,1,1,0,,2016,USC00088824,9.604612869226367
149,PI966,Pinellas,tree,28.108,-82.736,1,1,1,1,1,0,,2016,USC00088824,5.220810144
150,PO011,Polk,tree,27.922,-81.373,1,1,1,2,2,0,,2016,USW00012876,40.74991268734698
151,PO039,Polk,tree,27.992,-81.877,1,1,1,1,1,0,,2016,USW00012876,14.092748019242155
152,PO043,Polk,artificial structure,27.956,-81.791,1,1,1,1,1,0,,2016,USW00012876,12.187105191856155
153,PO045,Polk,tree,27.936,-81.849,1,1,1,1,1,0,,2016,USW00012876,16.61958025266193
154,PO046,Polk,artificial structure,27.985,-81.888,1,0,0,0,0,0,,2016,USW00012876,15.422863681223658
155,PO054,Polk,tree,27.972,-81.495,1,1,1,2,2,0,,2016,USW00012876,27.55746992504338
156,PO061,Polk,tree,28.078,-81.705,1,1,1,1,1,0,,2016,USW00012876,5.412038531517188
157,PO062,Polk,tree,27.95,-81.945,1,1,1,2,2,0,,2016,USW00012883,11.714620083636973
158,PO067,Polk,tree,28.003,-81.682,1,1,1,2,2,0,,2016,USW00012876,9.802201957408695
159,PO071,Polk,tree,27.848,-81.97,1,1,1,2,2,0,,2016,USW00012883,18.639839069086488
160,PO073,Polk,tree,28.067,-81.737,1,1,1,2,2,0,,2016,USW00012876,2.0449019404155235
161,PO082,Polk,tree,27.97,-81.55,1,1,1,2,2,0,,2016,USW00012876,22.704513946106584
162,PO084,Polk,tree,27.954167,-81.355167,1,1,1,2,2,0,,2016,USW00012876,41.19551735
163,PO086,Polk,tree,27.973,-81.55,1,1,1,2,2,0,,2016,USW00012876,22.556958479488706
164,PO093,Polk,artificial structure,27.979,-81.392,1,0,0,0,0,0,,2016,USW00012876,36.96572052138328
165,PO128,Polk,tree,28.092,-81.825,1,1,1,2,2,0,,2016,USW00012876,7.504535334513397
166,PO129,Polk,tree,28.065,-82.02,1,1,1,1,1,0,,2016,USW00012883,7.804447751336288
167,PO131,Polk,tree,27.948,-81.532,1,0,0,0,0,0,,2016,USW00012876,25.419753310562715
168,PO132,Polk,tree,28.09,-81.518,1,1,1,2,2,0,,2016,USW00012876,23.647944302218512
169,PO139,Polk,tree,27.828,-81.557,1,1,1,1,1,0,,2016,USW00012876,32.53808164464039
170,PO142,Polk,tree,27.98,-81.508,1,1,1,2,2,0,,2016,USW00012876,26.04818481294384
171,PO145,Polk,tree,27.948,-81.513,1,1,1,1,1,0,,2016,USW00012876,27.055361684157905
172,PO146,Polk,tree,27.927167,-81.354,0,0,0,0,0,0,,2016,USW00012876,42.274118058723694
173,PO147,Polk,tree,27.847,-81.607,1,0,0,0,0,0,,2016,USW00012876,28.014287408745027
174,PO149,Polk,tree,28.073,-81.692,1,1,0,1,0,1,,2016,USW00012876,6.492084439224825
175,PO151,Polk,tree,27.778,-81.987,0,0,0,0,0,0,,2016,USW00012883,25.449971182351867
176,PO160,Polk,tree,28.028,-81.905,1,0,0,0,0,0,,2016,USW00012883,14.57069421689822
177,PO167,Polk,Tree,28.011601,-81.631893,1,1,1,2,2,0,,2016,USW00012876,13.453948829748771
178,PO169,Polk,tree,27.99,-81.859,1,0,0,0,0,0,,2016,USW00012876,12.788005667975208
179,PO171,Polk,artificial structure,27.825,-81.833,1,1,1,1,1,0,,2016,USW00012876,27.327185579511323
180,PO180,Polk,tree,28.062,-81.514,1,1,1,2,2,0,,2016,USW00012876,23.82832951801139
181,PO190,Polk,tree,28.005,-81.927,1,0,0,0,0,0,,2016,USW00012883,12.088580918241355
182,PO193,Polk,tree,28.113,-81.823,1,1,1,2,2,0,,2016,USW00012876,8.665041036254177
183,PO194,Polk,tree,28.073,-81.711,1,1,1,1,1,0,,2016,USW00012876,4.6799562942672175
184,PO198,Polk,tree,27.872,-82.026,0,0,0,0,0,0,,2016,USW00012883,14.426926488440763
185,PO199,Polk,tree,27.99166,-81.52816,1,1,1,1,1,0,,2016,USW00012876,23.746862865300336
186,PO202,Polk,tree,27.734,-81.528,1,1,1,2,2,0,,2016,USW00012876,42.7883007
187,PO203,Polk,artificial structure,27.903,-81.866,1,1,1,2,2,0,,2016,USW00012876,20.615734017556864
188,PO208,Polk,tree,28.062167,-81.730833,1,1,1,2,2,0,,2016,USW00012876,2.553425669075877
189,PO225,Polk,artificial structure,28.007,-82.047,1,0,0,0,0,0,,2016,USW00012883,0.8322259988093083
190,PO226,Polk,tree,28.097,-81.697,1,0,0,0,0,0,,2016,USW00012876,7.082514763006574
191,PO228,Polk,tree,28.084,-81.549,1,1,1,2,2,0,,2016,USW00012876,20.54650066
192,PO229,Polk,Tree,28.025,-81.801,1,1,1,2,2,0,,2016,USW00012876,5.927702231650482
193,PO230,Polk,artificial structure,27.896,-81.985,1,1,1,2,1,1,,2016,USW00012883,13.209755689583018
194,PO232,Polk,tree,27.932,-81.791,1,1,1,1,1,0,,2016,USW00012876,14.77111344844808
195,PO236,Polk,tree,27.985,-81.683,1,1,1,1,1,0,,2016,USW00012876,11.164548258410646
196,PO240,Polk,artificial structure,28.051,-81.815,1,0,0,0,0,0,,2016,USW00012876,5.8224581438698735
197,PO245,Polk,tree,27.86752,-81.59495,1,0,0,0,0,0,,2016,USW00012876,26.784680283983153
198,PO247,Polk,artificial structure,27.918,-81.628,1,1,1,1,1,0,,2016,USW00012876,20.351592748544324
199,PO248,Polk,artificial structure,27.888444,-81.827092,1,1,1,1,1,0,,2016,USW00012876,20.428676998574318
200,PO249,Polk,artificial structure,28.151,-81.832,1,1,1,2,2,0,,2016,USW00012876,12.396533641605739
201,PO253,Polk,tree,27.749,-81.992,1,1,1,2,2,0,,2016,USW00012883,28.48627293757217
202,PO257,Polk,tree,27.805,-81.958,1,1,1,2,2,0,,2016,USW00012883,23.49229155791822
203,PO258,Polk,artificial structure,27.929,-81.541,1,1,1,1,1,0,,2016,USW00012876,25.802053319210742
204,PO260,Polk,tree,28.03758,-81.662815,1,1,1,2,2,0,,2016,USW00012876,9.598789237961896
205,PO261,Polk,artificial structure,28.007202,-81.856447,1,1,1,1,1,0,,2016,USW00012876,11.48277267259466
206,PO264,Polk,tree,27.994333,-81.534,1,0,0,0,0,0,,2016,USW00012876,23.10794881142006
207,PO271,Polk,tree,27.952875,-81.354563,1,0,0,0,0,0,,2016,USW00012876,41.294249312900135
208,PO272,Polk,tree,27.933655,-81.362667,1,1,1,1,1,0,,2016,USW00012876,41.22387972
209,PO273,Polk,tree,27.928,-81.381,1,0,0,0,0,0,,2016,USW00012876,39.77003424202465
210,PO280,Polk,tree,27.93303,-81.37044,0,0,0,0,0,0,,2016,USW00012876,40.53280073502668
211,PO974,Polk,tree,27.95,-81.418,1,1,1,1,1,0,,2016,USW00012876,35.495652947824986
212,POGRE,Polk,tree,28.073,-81.544,1,1,1,1,1,0,,2016,USW00012876,20.92346591233124
213,POHAT,Polk,artificial structure,28.068,-81.893,1,1,1,2,2,0,,2016,USW00012876,13.380402039597843
214,POKSP2,Polk,tree,27.936667,-81.355343,0,0,0,0,0,0,,2016,USW00012876,41.78683102577043
215,POKSP6,Polk,tree,27.915,-81.365,0,0,0,0,0,0,,2016,USW00012876,41.77567275768507
216,POMGR,Polk,tree,27.924663,-81.506474,1,0,0,0,0,0,,2016,USW00012876,28.902727851643377
217,PS003,Pasco,tree,28.238,-82.71,1,1,1,2,2,0,,2016,USC00088824,10.45662013439578
218,PS004,Pasco,tree,28.197,-82.783,0,0,0,0,0,0,,2016,USC00088824,5.740422459
219,PS010,Pasco,tree,28.187,-82.775,0,0,0,0,0,0,,2016,USC00088824,4.387401971702073
220,PS012,Pasco,tree,28.245,-82.492,1,1,1,1,1,0,,2016,USW00012818,25.72420765037109
221,PS014,Pasco,tree,28.18,-82.787,1,1,1,2,2,0,,2016,USC00088824,4.484775078243719
222,PS017,Pasco,tree,28.295,-82.713,1,1,1,2,2,0,,2016,USC00088824,16.36869696449488
223,PS023,Pasco,artificial structure,28.364,-82.696,1,1,1,1,1,0,,2016,USC00088824,24.21655473586437
224,PS024,Pasco,tree,28.227,-82.743,1,1,1,2,2,0,,2016,USC00088824,8.378956111490906
225,PS025,Pasco,tree,28.431705,-82.250118,1,1,1,2,1,1,,2016,USW00012818,20.451796584303146
226,PS027,Pasco,tree,28.199,-82.663,1,0,0,0,0,0,,2016,USC00088824,10.30704573498373
227,PS028,Pasco,tree,28.216,-82.748,1,1,1,1,1,0,,2016,USC00088824,7.111443347518354
228,PS034,Pasco,tree,28.203731,-82.771194,1,1,1,2,2,0,,2016,USC00088824,5.972925659600853
229,PU158,Putnam,tree,29.662,-81.615,1,1,1,1,1,0,,2016,USC00086767,39.656960681548405
230,PU165,Putnam,tree,29.643,-81.61,1,1,1,1,1,0,,2016,USC00086767,39.05546919343483
231,PU173,Putnam,tree,29.758,-81.534,1,0,0,0,0,0,,2016,USC00086767,34.637600227640895
232,SA001,Sarasota,tree,27.295,-82.518,1,1,1,2,2,0,,2016,USW00012871,12.499501124870633
233,SA009,Sarasota,tree,27.148,-82.433,1,1,1,2,2,0,,2016,USW00012871,30.79730820189922
234,SA011,Sarasota,tree,27.195,-82.452,0,0,0,0,0,0,,2016,USW00012871,25.259689650514105
235,SA023,Sarasota,tree,27.135,-82.38,1,1,1,2,2,0,,2016,USW00012871,34.490492858977284
236,SA028,Sarasota,tree,27.322,-82.42,1,1,1,2,2,0,,2016,USW00012871,16.293978760463503
237,SA033,Sarasota,tree,27.385,-82.637,1,1,1,1,1,0,,2016,USW00012871,7.950747753026188
238,SA040,Sarasota,tree,27.235,-82.503,1,1,1,2,2,0,,2016,USW00012871,19.308225702545585
239,SA045,Sarasota,tree,27.08128,-82.43477,1,0,0,0,0,0,,2016,USW00012871,37.64935937110067
240,SA050,Sarasota,tree,27.126,-82.441,1,1,1,2,2,0,,2016,USW00012871,32.76227165486186
241,SA052,Sarasota,tree,27.286,-82.418,1,1,1,1,1,0,,2016,USW00012871,18.914688923735735
242,SA056,Sarasota,tree,27.192226,-82.378446,1,1,1,1,1,0,,2016,USW00012871,29.296676631802246
243,SA057,Sarasota,artificial structure,27.368556,-82.539194,1,1,1,1,1,0,,2016,USW00012871,4.131475600309204
244,SA060,Sarasota,artificial structure,27.29,-82.524,1,0,0,0,0,0,,2016,USW00012871,12.857111905435238
245,SA062,Sarasota,Tree,27.345,-82.433,1,1,1,1,1,0,,2016,USW00012871,13.90342609630187
246,SA066,Sarasota,tree,27.115,-82.42,1,1,1,1,1,0,,2016,USW00012871,34.67543637732079
247,SA068,Sarasota,tree,27.179,-82.489,1,1,1,2,2,0,,2016,USW00012871,25.675606240086108
248,SE004,Seminole,tree,28.683,-81.228,1,1,1,1,1,0,,2016,USW00012854,10.838153941397906
249,SE012,Seminole,tree,28.638,-81.299,1,1,1,1,1,0,,2016,USW00012841,10.775318481812016
250,SE019,Seminole,tree,28.723,-81.058,1,1,1,1,1,0,,2016,USW00012854,19.149871767645045
251,SE027,Seminole,tree,28.7,-81.44,1,1,1,2,2,0,,2016,USW00012841,19.883995896876073
252,SE047,Seminole,tree,28.797,-81.308,1,0,0,0,0,0,,2016,USW00012854,6.574055345520977
253,SE057,Seminole,tree,28.735,-81.26,1,1,1,1,1,0,,2016,USW00012854,5.202286473836583
254,SE081,Seminole,tree,28.729,-81.141,1,1,1,2,2,0,,2016,USW00012854,11.467487719136717
255,SE092,Seminole,artificial structure,28.691,-81.22,1,1,1,1,1,0,,2016,USW00012854,10.10640187
